timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
1750548661.66354,0.76,-0.05,10.41,-0.05,0.02,0.02,freezing
1750548661.6766,0.76,-0.04,10.43,-0.05,0.02,0.02,freezing
1750548661.68965,0.8,-0.03,10.43,-0.05,0.02,0.02,freezing
1750548661.70254,0.79,-0.05,10.44,-0.05,0.02,0.02,freezing
1750548661.71557,0.73,-0.05,10.42,-0.05,0.02,0.02,freezing
1750548661.72857,0.79,-0.04,10.42,-0.05,0.02,0.02,freezing
1750548661.74231,0.81,-0.07,10.41,-0.05,0.02,0.02,freezing
1750548661.75459,0.76,-0.05,10.42,-0.05,0.02,0.02,freezing
1750548661.76762,0.78,-0.04,10.43,-0.05,0.02,0.02,freezing
1750548661.78163,0.81,-0.05,10.42,-0.05,0.02,0.02,freezing
1750548661.79401,0.78,-0.04,10.42,-0.05,0.02,0.02,freezing
1750548661.8066,0.76,-0.02,10.42,-0.05,0.02,0.02,freezing
1750548661.81957,0.79,-0.05,10.43,-0.05,0.02,0.02,freezing
1750548661.83255,0.79,-0.04,10.44,-0.05,0.03,0.02,freezing
1750548661.84579,0.75,-0.04,10.47,-0.05,0.02,0.02,freezing
1750548661.85875,0.81,-0.04,10.41,-0.05,0.02,0.02,freezing
1750548661.87156,0.8,-0.03,10.43,-0.05,0.03,0.02,freezing
1750548661.88513,0.73,-0.04,10.41,-0.05,0.02,0.02,freezing
1750548661.89794,0.79,-0.06,10.42,-0.05,0.02,0.02,freezing
1750548661.91062,0.81,-0.06,10.42,-0.05,0.02,0.02,freezing
1750548661.92355,0.77,-0.03,10.46,-0.05,0.03,0.02,freezing
1750548661.93656,0.79,-0.06,10.42,-0.05,0.02,0.02,freezing
1750548661.94962,0.79,-0.07,10.4,-0.05,0.02,0.02,freezing
1750548661.96255,0.77,-0.04,10.43,-0.05,0.02,0.02,freezing
1750548661.9756,0.77,-0.05,10.44,-0.05,0.02,0.02,freezing
1750548661.98856,0.8,-0.06,10.41,-0.05,0.02,0.02,freezing
1750548662.00159,0.78,-0.04,10.43,-0.05,0.02,0.02,freezing
1750548662.01458,0.77,-0.05,10.42,-0.05,0.02,0.02,freezing
1750548662.02909,0.8,-0.06,10.42,-0.05,0.02,0.02,freezing
1750548662.04094,0.79,-0.04,10.42,-0.05,0.02,0.02,freezing
1750548662.05408,0.77,-0.04,10.42,-0.05,0.02,0.02,freezing
1750548662.06673,0.78,-0.07,10.39,-0.05,0.02,0.02,freezing
1750548662.08134,0.78,-0.06,10.43,-0.05,0.02,0.02,freezing
1750548662.09265,0.79,-0.05,10.42,-0.05,0.02,0.02,freezing
1750548662.10563,0.76,-0.05,10.44,-0.05,0.02,0.02,freezing
1750548662.11855,0.76,-0.05,10.45,-0.05,0.02,0.02,freezing
1750548662.1316,0.79,-0.05,10.46,-0.05,0.02,0.02,freezing
1750548662.14465,0.77,-0.05,10.45,-0.05,0.02,0.02,freezing
1750548662.15754,0.78,-0.04,10.43,-0.05,0.02,0.02,freezing
1750548662.17934,0.79,-0.05,10.42,-0.05,0.02,0.02,freezing
1750548662.18463,0.78,-0.06,10.43,-0.05,0.02,0.02,freezing
1750548662.19664,0.79,-0.05,10.47,-0.05,0.02,0.02,freezing
1750548662.2096,0.78,-0.08,10.44,-0.05,0.02,0.02,freezing
1750548662.22266,0.78,-0.04,10.43,-0.05,0.02,0.02,freezing
1750548662.23564,0.8,-0.02,10.42,-0.05,0.02,0.02,freezing
1750548662.24852,0.79,-0.06,10.43,-0.05,0.02,0.02,freezing
1750548662.26165,0.77,-0.04,10.44,-0.05,0.02,0.02,freezing
1750548662.27464,0.77,-0.04,10.41,-0.05,0.02,0.02,freezing
1750548662.28759,0.81,-0.04,10.43,-0.05,0.02,0.02,freezing
1750548662.30055,0.78,-0.07,10.39,-0.05,0.03,0.02,freezing
1750548662.31355,0.78,-0.05,10.43,-0.05,0.02,0.02,freezing
1750548662.32667,0.82,-0.04,10.42,-0.05,0.02,0.02,freezing
1750548662.33996,0.78,-0.05,10.44,-0.05,0.03,0.02,freezing
1750548662.35265,0.75,-0.06,10.42,-0.05,0.02,0.02,freezing
1750548662.36557,0.79,-0.06,10.42,-0.05,0.02,0.02,freezing
1750548662.37862,0.79,-0.05,10.42,-0.05,0.02,0.02,freezing
1750548662.39157,0.76,-0.05,10.42,-0.05,0.02,0.02,freezing
1750548662.40454,0.79,-0.06,10.41,-0.05,0.02,0.02,freezing
1750548662.41759,0.8,-0.04,10.43,-0.05,0.02,0.02,freezing
1750548662.43062,0.76,-0.03,10.42,-0.05,0.02,0.02,freezing
1750548662.44354,0.78,-0.04,10.4,-0.05,0.02,0.02,freezing
1750548662.45655,0.8,-0.05,10.41,-0.05,0.02,0.02,freezing
1750548662.47002,0.76,-0.04,10.44,-0.05,0.02,0.02,freezing
1750548662.48359,0.78,-0.06,10.41,-0.05,0.02,0.02,freezing
1750548662.49954,0.8,-0.07,10.36,-0.05,0.02,0.02,freezing
1750548662.50884,0.78,-0.04,10.44,-0.05,0.02,0.02,freezing
1750548662.5216,0.77,-0.05,10.44,-0.05,0.02,0.02,freezing
1750548662.53465,0.78,-0.07,10.46,-0.05,0.02,0.02,freezing
1750548662.54758,0.78,-0.06,10.42,-0.05,0.02,0.02,freezing
1750548662.56102,0.78,-0.05,10.41,-0.05,0.02,0.02,freezing
1750548662.59955,0.79,-0.05,10.43,-0.05,0.02,0.02,freezing
1750548662.60011,0.77,-0.05,10.41,-0.05,0.02,0.02,freezing
1750548662.60053,0.8,-0.03,10.42,-0.05,0.02,0.02,freezing
1750548662.61292,0.78,-0.07,10.42,-0.05,0.02,0.02,freezing
1750548662.62617,0.76,-0.09,10.41,-0.05,0.02,0.02,freezing
1750548662.63862,0.79,-0.07,10.41,-0.05,0.02,0.02,freezing
1750548662.65159,0.79,-0.05,10.44,-0.05,0.02,0.02,freezing
1750548662.66465,0.75,-0.06,10.44,-0.05,0.02,0.02,freezing
1750548662.68433,0.76,-0.06,10.43,-0.05,0.02,0.02,freezing
1750548662.69159,0.79,-0.04,10.44,-0.05,0.02,0.02,freezing
1750548662.70428,0.79,-0.04,10.41,-0.05,0.02,0.02,freezing
1750548662.72186,0.77,-0.08,10.42,-0.05,0.02,0.02,freezing
1750548662.73141,0.77,-0.05,10.4,-0.05,0.02,0.02,freezing
1750548662.74912,0.81,-0.02,10.43,-0.05,0.02,0.02,freezing
1750548662.75807,0.78,-0.06,10.41,-0.05,0.03,0.02,freezing
1750548662.77421,0.75,-0.06,10.41,-0.05,0.02,0.02,freezing
1750548662.78383,0.79,-0.05,10.4,-0.05,0.02,0.02,freezing
1750548662.79459,0.78,-0.04,10.43,-0.05,0.03,0.02,freezing
1750548662.80876,0.76,-0.06,10.41,-0.05,0.02,0.02,freezing
1750548662.82084,0.79,-0.06,10.43,-0.05,0.02,0.02,freezing
